ListingID,HostID,NeighbourhoodName,RoomTypeName,Latitude,Longitude,Price,Availability365,SnapshotDate
45026,198732,Saint-Gilles,Entire home/apt,50.82677,4.34987,64.0,328,2025-06-21
48180,219560,Woluwe-Saint-Pierre,Entire home/apt,50.83771,4.40707,200.0,364,2025-06-21
52796,244722,Ixelles,Entire home/apt,50.83362,4.36057,83.0,222,2025-06-21
80257,433586,Anderlecht,Entire home/apt,50.83992,4.33636,147.0,238,2025-06-21
80320,433586,Anderlecht,Entire home/apt,50.83992,4.33636,163.0,223,2025-06-21
80373,433586,Anderlecht,Entire home/apt,50.83992,4.33636,141.0,225,2025-06-21
96293,433586,Anderlecht,Entire home/apt,50.84053,4.3363,228.0,224,2025-06-21
96642,433586,Anderlecht,Entire home/apt,50.83992,4.33636,104.0,200,2025-06-21
96694,433586,Anderlecht,Entire home/apt,50.83992,4.33636,180.0,249,2025-06-21
97740,517059,Schaerbeek,Hotel room,50.87048,4.37904,81.0,0,2025-06-21
106677,510480,Uccle,Entire home/apt,50.80657,4.33571,67.0,307,2025-06-21
118707,433586,Anderlecht,Entire home/apt,50.83992,4.33636,165.0,246,2025-06-21
130097,641036,Bruxelles,Hotel room,50.84581,4.35008,114.0,257,2025-06-21
134357,433586,Anderlecht,Entire home/apt,50.83992,4.33636,132.0,166,2025-06-21
134361,433586,Anderlecht,Entire home/apt,50.83992,4.33636,193.0,222,2025-06-21
134504,433586,Anderlecht,Entire home/apt,50.83992,4.33636,174.0,219,2025-06-21
134581,433586,Anderlecht,Entire home/apt,50.83992,4.33636,224.0,240,2025-06-21
148114,433586,Anderlecht,Entire home/apt,50.83992,4.33636,167.0,223,2025-06-21
148797,717733,Etterbeek,Entire home/apt,50.83063,4.38619,150.0,62,2025-06-21
196623,957771,Anderlecht,Entire home/apt,50.84,4.33689,102.0,271,2025-06-21
200385,624176,Saint-Gilles,Entire home/apt,50.8264,4.34247,107.0,292,2025-06-21
268652,1408080,Bruxelles,Entire home/apt,50.852,4.34017,83.0,243,2025-06-21
302472,71215,Ixelles,Entire home/apt,50.81523,4.35168,100.0,363,2025-06-21
378953,1823420,Woluwe-Saint-Lambert,Private room,50.86206,4.4274,50.0,290,2025-06-21
378955,1823420,Evere,Entire home/apt,50.8619,4.42555,64.0,192,2025-06-21
405932,2023289,Ixelles,Private room,50.82071,4.35525,65.0,266,2025-06-21
441012,2188987,Forest,Entire home/apt,50.81568,4.33865,59.0,245,2025-06-21
443355,2188995,Saint-Gilles,Private room,50.83212,4.34993,45.0,155,2025-06-21
489081,2188995,Saint-Gilles,Entire home/apt,50.83131,4.34995,130.0,361,2025-06-21
510929,2210824,Saint-Josse-ten-Noode,Private room,50.85411,4.37615,50.0,62,2025-06-21
623192,3090043,Bruxelles,Entire home/apt,50.84387,4.34906,68.0,56,2025-06-21
659834,2996959,Bruxelles,Entire home/apt,50.84724,4.34033,78.0,348,2025-06-21
666495,3369813,Anderlecht,Private room,50.83392,4.32795,65.0,284,2025-06-21
678139,3449982,Ixelles,Entire home/apt,50.83195,4.36246,98.0,324,2025-06-21
688398,3506931,Saint-Gilles,Entire home/apt,50.83202,4.34506,45.0,135,2025-06-21
701220,102116,Forest,Entire home/apt,50.81891,4.32694,80.0,27,2025-06-21
702465,3275907,Anderlecht,Entire home/apt,50.84114,4.3364,159.0,19,2025-06-21
746595,3917867,Forest,Entire home/apt,50.821,4.32819,145.0,173,2025-06-21
753573,3925484,Bruxelles,Private room,50.84868,4.38655,69.0,87,2025-06-21
785852,3584896,Bruxelles,Entire home/apt,50.85042,4.34298,59.0,213,2025-06-21
796035,4193092,Ixelles,Entire home/apt,50.82321,4.35766,132.0,244,2025-06-21
807834,4250257,Bruxelles,Entire home/apt,50.83831,4.35072,85.0,240,2025-06-21
831325,3950554,Ixelles,Private room,50.83427,4.36366,42.0,325,2025-06-21
845565,4411779,Auderghem,Entire home/apt,50.80443,4.43546,130.0,312,2025-06-21
845573,4411779,Auderghem,Entire home/apt,50.80243,4.43593,120.0,334,2025-06-21
847618,4425572,Bruxelles,Private room,50.8901,4.34212,64.0,323,2025-06-21
856337,4477045,Molenbeek-Saint-Jean,Private room,50.85584,4.30829,56.0,365,2025-06-21
871638,4595663,Evere,Entire home/apt,50.87589,4.39696,40.0,295,2025-06-21
877917,4639108,Bruxelles,Entire home/apt,50.84867,4.34381,250.0,159,2025-06-21
888251,4614115,Ixelles,Private room,50.83633,4.36049,28.0,186,2025-06-21
904954,4715516,Ixelles,Entire home/apt,50.82291,4.35978,142.0,218,2025-06-21
933649,4775402,Watermael-Boitsfort,Entire home/apt,50.81143,4.39497,180.0,167,2025-06-21
938771,101192,Bruxelles,Entire home/apt,50.87224,4.34684,109.0,81,2025-06-21
956076,5195596,Forest,Entire home/apt,50.81678,4.343,68.0,274,2025-06-21
957524,5207743,Saint-Josse-ten-Noode,Entire home/apt,50.85397,4.37615,81.0,71,2025-06-21
967338,5277485,Woluwe-Saint-Lambert,Private room,50.8478,4.43279,35.0,244,2025-06-21
972913,9463457,Bruxelles,Entire home/apt,50.82587,4.36428,190.0,280,2025-06-21
992573,1823420,Woluwe-Saint-Lambert,Private room,50.86149,4.42712,59.0,291,2025-06-21
992623,995442,Etterbeek,Entire home/apt,50.83122,4.40322,70.0,266,2025-06-21
1047270,1928242,Bruxelles,Entire home/apt,50.82544,4.3656,89.0,243,2025-06-21
1050095,995442,Etterbeek,Entire home/apt,50.8314,4.40378,59.0,196,2025-06-21
1080200,4588135,Saint-Gilles,Entire home/apt,50.83732,4.33809,61.0,240,2025-06-21
1120653,6148100,Uccle,Private room,50.78351,4.34322,77.0,85,2025-06-21
1139899,6251871,Forest,Entire home/apt,50.80422,4.31804,38.0,244,2025-06-21
1155898,6251871,Forest,Entire home/apt,50.80443,4.31996,38.0,132,2025-06-21
1165927,2912330,Saint-Gilles,Entire home/apt,50.82431,4.3488,72.0,341,2025-06-21
1176069,6436025,Bruxelles,Entire home/apt,50.85054,4.3487,78.0,195,2025-06-21
1184573,433586,Anderlecht,Entire home/apt,50.83992,4.33636,155.0,202,2025-06-21
1184619,433586,Anderlecht,Entire home/apt,50.83992,4.33636,158.0,255,2025-06-21
1188066,6461047,Etterbeek,Entire home/apt,50.82925,4.38107,127.0,16,2025-06-21
1197083,6540102,Saint-Gilles,Entire home/apt,50.82524,4.35395,79.0,18,2025-06-21
1200538,433586,Anderlecht,Entire home/apt,50.83992,4.33636,139.0,245,2025-06-21
1212814,6620396,Bruxelles,Entire home/apt,50.85574,4.34643,72.0,0,2025-06-21
1237447,1764707,Bruxelles,Entire home/apt,50.84861,4.35703,106.0,358,2025-06-21
1241604,6767876,Bruxelles,Private room,50.85669,4.35469,39.0,32,2025-06-21
1248982,6805921,Etterbeek,Entire home/apt,50.83821,4.40253,76.0,173,2025-06-21
1255845,6840814,Saint-Gilles,Entire home/apt,50.82456,4.34105,91.0,330,2025-06-21
1259022,995442,Etterbeek,Entire home/apt,50.83234,4.40438,91.0,194,2025-06-21
1281585,6973611,Etterbeek,Private room,50.83076,4.39729,45.0,69,2025-06-21
1282520,6973611,Etterbeek,Private room,50.83076,4.39729,45.0,76,2025-06-21
1300465,3277945,Schaerbeek,Entire home/apt,50.85915,4.3831,162.0,36,2025-06-21
1322759,7180341,Forest,Entire home/apt,50.8195,4.34577,107.0,192,2025-06-21
1341985,3845557,Ixelles,Entire home/apt,50.83484,4.36703,80.0,85,2025-06-21
1353843,7345304,Saint-Gilles,Entire home/apt,50.83208,4.35263,120.0,172,2025-06-21
1459052,7821832,Etterbeek,Entire home/apt,50.83109,4.38782,44.0,229,2025-06-21
1513672,8082639,Etterbeek,Entire home/apt,50.83021,4.39907,104.0,361,2025-06-21
1541871,3472841,Ixelles,Private room,50.81667,4.36898,79.0,356,2025-06-21
1591834,7975542,Ixelles,Entire home/apt,50.82918,4.37223,75.0,325,2025-06-21
1599393,8123156,Woluwe-Saint-Lambert,Entire home/apt,50.8491,4.43415,77.0,276,2025-06-21
1603428,8543563,Woluwe-Saint-Lambert,Entire home/apt,50.84901,4.41575,144.0,172,2025-06-21
1631767,8669957,Bruxelles,Entire home/apt,50.8585,4.35198,65.0,337,2025-06-21
1748384,9200458,Ixelles,Private room,50.8184,4.38404,36.0,192,2025-06-21
1770977,995442,Etterbeek,Entire home/apt,50.83326,4.40494,82.0,235,2025-06-21
1790253,3047800,Ixelles,Entire home/apt,50.8342,4.35778,529.0,168,2025-06-21
1805616,8454365,Etterbeek,Private room,50.83553,4.39127,46.0,156,2025-06-21
1842688,9628959,Saint-Gilles,Private room,50.83384,4.35325,53.0,227,2025-06-21
1852275,9200458,Ixelles,Private room,50.8185,4.38398,36.0,207,2025-06-21
1864099,9699597,Ixelles,Entire home/apt,50.83434,4.36091,77.0,56,2025-06-21
1871520,5575455,Ixelles,Entire home/apt,50.82263,4.36457,88.0,357,2025-06-21
1892579,9837706,Uccle,Entire home/apt,50.81533,4.36094,59.0,175,2025-06-21
1896021,9850704,Bruxelles,Entire home/apt,50.85539,4.35058,91.0,24,2025-06-21
1897051,9849037,Molenbeek-Saint-Jean,Entire home/apt,50.85021,4.31126,2000.0,270,2025-06-21
1911703,9918617,Ixelles,Entire home/apt,50.82297,4.374,552.0,270,2025-06-21
1938833,10030076,Uccle,Entire home/apt,50.80196,4.33878,143.0,361,2025-06-21
